gene	scaffold	start	end	exonLen	CDSlen	nonCDSLen	eExp	kExp	eRPK	kRPK	eTPM	kTPM	eSyn#	eSyns	eMis#	eMiss	kSyn#	kSyns	kMis#	kMiss	eSynFix	eMisFix	kSynFix	kMisFix	epN/pS	kpN/pS
LHX9	NW_008795702.1	759038	779754	6056	1257	19459	27	11	21.4797136038186	8.75099443118536	0.415121466258958	0.183792357852857	1	4	0	0	1	3	0	0	0	0	0	0	0	0
LIF	NW_008795033.1	493321	503565	490	490	9754	7	4	14.2857142857143	8.16326530612245	0.276088721210323	0.171448603948825	0	0	1	2	4	12	1	2	0	0	0	0		0.25
LIG3	NW_008794371.1	373076	388656	3581	2966	12614	3229	3202	1088.67161159811	1079.56844234659	21.0398967144873	22.6735865326725	11	54	5	57	5	24	4	23	0	0	0	0	0.454545454545455	0.8
LIG4	NW_008795029.1	240002	243832	3705	2735	1095	1971	1343	720.658135283364	491.042047531993	13.927590810014	10.3130880073677	15	59	4	50	7	28	2	4	0	0	0	0	0.266666666666667	0.285714285714286
LIMA1	NW_008794786.1	356698	380498	3516	2303	21497	5538	2895	2404.68953538862	1257.05601389492	46.4735361113303	26.4012610868004	5	18	11	31	3	24	5	14	0	0	0	0	2.2	1.66666666666667
LIMD1	NW_008794010.1	1883225	1918602	6839	646	34731	5285	7237	8181.11455108359	11202.786377709	158.109941813868	235.286005387401	3	15	0	0	0	0	0	0	0	0	0	0	0	
LIMD2	NW_008796188.1	2578443	2581158	1415	472	2243	1492	1378	3161.01694915254	2919.49152542373	61.0904789050977	61.3164864186045	1	2	0	0	2	2	0	0	0	0	0	0	0	0
LIME1	NW_008795687.1	10919	13771	1087	1087	1765	4	37	3.67985280588776	34.0386384544618	0.071117609879384	0.714894937808691	12	40	15	39	10	32	9	17	0	0	0	0	1.25	0.9
LIMK1	NW_008795034.1	1021584	1065150	3059	3059	40507	3925	1560	1283.09905197777	509.970578620464	24.7974423512704	10.710633610533	8	23	9	57	1	1	4	14	0	0	0	0	1.125	4
LIMK2	NW_008795323.1	1384674	1415569	3900	1997	28898	3247	1702	1625.93890836254	852.27841762644	31.4232375783146	17.8999382475264	7	36	0	0	5	8	2	2	0	0	0	0	0	0.4
LIMS1	NW_008795029.1	4563038	4583720	2891	1301	19381	2458	1553	1889.31591083782	1193.69715603382	36.5133169649871	25.0705695901109	4	27	1	1	5	29	2	2	0	0	0	0	0.25	0.4
LIMS2	NW_008795907.1	3371655	3391355	3534	1002	18698	3625	3528	3617.76447105788	3520.95808383234	69.9176776518158	73.9487601343343	4	16	0	0	6	58	0	0	0	0	1	0	0	0
LIN28A	NW_008795030.1	1204618	1230703	534	534	25551	0	0	0	0	0	0	2	5	3	13	1	7	2	2	0	0	0	0	1.5	2
LIN28B	NW_008794211.1	3102573	3193763	1355	782	90408	20	5	25.5754475703325	6.39386189258312	0.494276482985233	0.134286790177308	5	8	1	1	2	6	1	3	0	0	0	0	0.2	0.5
LIN52	NW_008795405.1	1414331	1465906	3262	245	51330	3320	3480	13551.0204081633	14204.0816326531	261.889872690935	298.320570870955	0	0	0	0	1	25	0	0	0	0	0	0		0
LIN54	NW_008795853.1	1761868	1796809	5135	2461	32480	2412	1946	980.089394555059	790.735473384803	18.9414139330154	16.6073853930681	7	15	1	2	4	15	1	1	1	0	1	0	0.142857142857143	0.25
LIN7A	NW_008795923.1	1595686	1606225	530	518	10021	444	421	857.142857142857	812.741312741313	16.5653232726194	17.0695620215265	0	0	0	0	0	0	0	0	0	0	0	0		
LIN7C	NW_008796218.1	12657740	12669814	680	634	11440	1100	812	1735.01577287066	1280.7570977918	33.5312800208121	26.8990420107091	1	34	0	0	3	9	1	1	0	0	0	0	0	0.333333333333333
LIN9	NW_008796042.1	133995	166790	2891	1463	31332	415	334	283.663704716336	228.298017771702	5.48214446422411	4.79481861282717	4	9	0	0	2	4	0	0	0	0	0	0	0	0
LINGO1	NW_008795250.1	954026	956330	2304	1841	463	15956	7523	8667.02878870179	4086.36610537751	167.500822647601	85.8237160888693	5	34	2	3	3	6	0	0	0	0	0	0	0.4	0
LINGO3	NW_008795475.1	53896	55713	1817	1817	0	1172	1276	645.019262520638	702.256466703357	12.4657780341744	14.7491091267148	14	75	1	1	8	17	2	3	0	0	0	0	0.0714285714285714	0.25
LINS1	NW_008794427.1	367920	380424	2965	2325	10179	621	474	267.096774193548	203.870967741935	5.16196847785494	4.28179061861871	4	22	2	5	1	1	2	2	1	0	0	1	0.5	2
LIPA	NW_008795129.1	7343270	7355443	2801	875	11298	4903	5434	5603.42857142857	6210.28571428572	108.293040007537	130.431239940108	3	39	0	0	2	6	1	22	0	0	0	0	0	0.5
LIPC	NW_008795371.1	2014864	2031562	1436	1429	15269	14752	6017	10323.3030090973	4210.63680895731	199.510326851384	88.4337058223299	0	0	1	2	1	1	1	1	0	0	0	0		1
LIPG	NW_008794713.1	621054	630129	1499	1499	7576	1612	1548	1075.38358905937	1032.68845897265	20.7830895939779	21.6889918391031	8	29	1	1	7	39	4	16	0	0	0	0	0.125	0.571428571428571
LIPH	NW_008795924.1	726348	739801	1346	1346	12107	194	905	144.130757800892	672.362555720654	2.7855013625826	14.1212636369068	1	1	1	3	2	8	1	1	0	0	1	0	1	0.5
LIPI	NW_008794836.1	6785457	6805126	1352	1352	18317	606	240	448.224852071006	177.514792899408	8.66248783560791	3.72824626930136	1	2	4	7	0	0	0	0	0	0	0	2	4	
LIPT1	NW_008794123.1	214761	216218	1457	1121	336	411	347	366.636931311329	309.545049063336	7.08570250599553	6.50120564884448	5	9	3	5	4	16	1	1	1	0	0	0	0.6	0.25
LIPT2	NW_008794121.1	523260	523939	679	236	443	1338	1273	5669.49152542373	5394.06779661017	109.56978656169	113.28866068343	1	1	0	0	3	15	0	0	0	0	1	0	0	0
LITAF	NW_008795492.1	3931584	3953745	3209	491	21670	4673	5524	9517.3116089613	11250.5091649695	183.93356740348	236.288301030815	2	31	3	4	0	0	0	0	0	0	0	0	1.5	
LIX1L	NW_008795256.1	111229	116949	1072	914	4806	650	564	711.159737417943	617.067833698031	13.7440227735992	12.9599387820835	1	1	0	0	0	0	1	1	0	0	0	0	0	
LLGL1	NW_008796063.1	9719609	9725659	2358	2267	3783	2552	2020	1125.71680635201	891.045434494927	21.7558399457486	18.7141407353933	16	55	5	11	9	64	3	3	0	0	1	0	0.3125	0.333333333333333
LLGL2	NW_008795318.1	33485	60150	3734	3053	23612	7601	5896	2489.68227972486	1931.21519816574	48.1161237780467	40.5602583321579	5	40	4	4	5	9	1	1	0	1	6	0	0.8	0.2
LLPH	NW_008795442.1	3433182	3437693	1108	343	4168	2196	2293	6402.33236151603	6685.13119533528	123.73282281181	140.404160305234	1	5	1	1	0	0	2	2	0	0	0	0	1	
LMAN1	NW_008794442.1	7773	76254	2526	1312	67169	4547	3462	3465.7012195122	2638.71951219512	66.9788712454525	55.4195851308512	1	1	0	0	2	10	0	0	0	0	0	0	0	0
LMAN2	NW_008796044.1	9088936	9093657	864	758	3963	5422	5603	7153.03430079156	7391.82058047493	138.241046501538	155.246371597421	3	24	0	0	0	0	1	1	0	0	0	0	0	
LMAN2L	NW_008794178.1	84165	91854	2253	743	6946	2763	3005	3718.70794078062	4044.41453566622	71.8685323947356	84.9426301764625	1	2	0	0	1	38	0	0	0	0	0	0	0	0
LMBR1	NW_008795521.1	432836	490724	1568	1471	56417	2600	1343	1767.5050985724	912.984364377974	34.1591755678306	19.1749121007143	4	12	2	4	2	21	0	0	0	0	0	1	0.5	0
LMBRD1	NW_008795021.1	3895210	3983239	3526	1687	86342	3437	2524	2037.34439834025	1496.14700652045	39.3741466721942	31.4227586573427	6	23	2	4	7	116	2	2	0	0	1	0	0.333333333333333	0.285714285714286
LMCD1	NW_008794173.1	2833986	2853439	5369	1051	18402	2672	8518	2542.34062797336	8104.662226451	49.133810100075	170.21779546472	12	98	2	6	6	38	1	13	0	0	0	0	0.166666666666667	0.166666666666667
LMLN	NW_008794520.1	2245378	2262428	1879	1879	15171	270	171	143.693453964875	91.0058541777541	2.77704993660197	1.91134626461842	4	37	0	0	1	34	3	15	1	0	0	0	0	3
LMNA	NW_008795711.1	268774	289906	2108	1962	19170	10965	5209	5588.68501529052	2654.94393476045	108.00810293832	55.760337819192	11	33	0	0	5	6	1	3	0	0	0	0	0	0.2
LMNB1	NW_008795322.1	59671	72211	1734	1128	11412	1336	719	1184.39716312057	637.411347517731	22.8899088719764	13.3872024949491	0	0	0	0	1	11	0	0	0	0	0	0		0
LMNB2	NW_008794176.1	95203	138289	7128	1791	41295	4076	2260	2275.82356225572	1261.86487995533	43.9830451902453	26.5022590749481	4	29	0	0	3	9	2	2	0	0	1	0	0	0.666666666666667
LMO1	NW_008796218.1	5589986	5647449	1434	467	56996	2431	1340	5205.56745182013	2869.37901498929	100.603892266297	60.264000724196	1	4	0	0	1	1	0	0	0	0	0	0	0	0
LMO2	NW_008794281.1	2028957	2048474	1393	611	18906	1863	1572	3049.09983633388	2572.83142389525	58.9275452259218	54.0357735882572	3	36	0	0	2	44	0	0	0	0	0	0	0	0
LMO3	NW_008795252.1	4208446	4265987	1196	435	57106	8274	3670	19020.6896551724	8436.7816091954	367.597851840448	177.193117517914	0	0	0	0	0	0	0	0	0	0	0	0		
LMO4	NW_008794085.1	1526063	1535006	940	353	8590	1313	1389	3719.54674220963	3934.84419263456	71.8847432477076	82.6413840889586	1	5	4	10	0	0	1	31	0	0	0	0	4	
LMO7	NW_008795495.1	4178573	4254981	6390	4932	71476	11141	8565	2258.92133008921	1736.61800486618	43.6563890937337	36.4732397345207	13	89	13	24	14	88	10	15	0	0	2	0	1	0.714285714285714
LMOD1	NW_008795522.1	71318	92150	2046	1917	18915	348	365	181.533646322379	190.401669274909	3.50835745888548	3.99890229737184	5	15	5	89	3	23	3	32	1	1	0	0	1	1
LMOD2	NW_008796110.1	3563627	3570380	2210	1622	5131	4550	20303	2805.17879161529	12517.2626387176	54.2134757740369	262.893232571942	9	83	3	79	7	14	2	4	1	0	0	1	0.333333333333333	0.285714285714286
LMOD3	NW_008795909.1	3710969	3717555	2562	1695	4891	770	2393	454.277286135693	1411.7994100295	8.77945845028696	29.6512521434031	11	45	5	8	14	108	12	109	0	0	0	0	0.454545454545455	0.857142857142857
LMTK2	NW_008796063.1	4270541	4314920	8447	4402	39977	8150	5971	1851.43116765107	1356.42889595638	35.7811484440003	28.488335469527	6	33	11	69	4	15	4	6	1	1	1	1	1.83333333333333	1
LMX1A	NW_008794624.1	472545	479011	867	867	5599	3	6	3.46020761245675	6.9204152249135	0.0668727006391785	0.145345702309557	2	5	0	0	0	0	1	13	1	0	0	0	0	
LMX1B	NW_008795332.1	603740	697145	1558	1166	92239	143	120	122.641509433962	102.915951972556	2.37019562548485	2.16148754549547	2	17	4	5	1	1	1	2	0	0	0	1	2	1
LNP1	NW_008794443.1	6790285	6800122	826	597	9240	14	7	23.4505862646566	11.7252931323283	0.453210966140898	0.246259929457482	2	4	4	9	0	0	0	0	0	0	0	0	2	
LNPK	NW_008795194.1	3002679	3047486	2473	1245	43562	3306	3347	2655.42168674699	2688.35341365462	51.3192384437694	56.4620188622873	1	1	1	2	2	4	2	45	0	1	0	0	1	1
LNX1	NW_008795127.1	8185722	8257676	2393	2280	69674	1121	848	491.666666666667	371.929824561404	9.50205348832194	7.81143902552802	9	75	6	13	7	10	9	18	0	0	0	1	0.666666666666667	1.28571428571429
LNX2	NW_008794446.1	7505377	7563353	4569	2054	55922	2076	1884	1010.71080817916	917.234664070107	19.5332098180546	19.2641788244154	2	18	3	5	7	65	5	28	0	0	0	0	1.5	0.714285714285714
LOC103893227	NW_008794538.1	87704	89009	822	804	501	4	101	4.97512437810945	125.621890547264	0.0961503009190179	2.6383679755682	4	14	3	4	3	34	1	1	0	0	0	0	0.75	0.333333333333333
LOC103893232	NW_008794538.1	72188	77067	851	851	4028	5439	3672	6391.30434782609	4314.92361927145	123.51969309801	90.6239847570626	3	6	2	2	2	5	0	0	0	0	0	0	0.666666666666667	0
LOC103893234	NW_008794538.1	132808	135105	1056	1056	1241	5701	4245	5398.67424242424	4019.88636363636	104.335914747541	84.4274783721005	4	14	1	1	0	0	0	0	0	0	0	0	0.25	
LOC103893236	NW_008794539.1	154460	167381	2046	1885	11036	1682	941	892.307692307692	499.20424403183	17.2449262786755	10.4845141637617	2	18	1	2	0	0	0	0	0	0	0	0	0.5	
LOC103893237	NW_008794539.1	10102	11278	1176	1052	124	355	319	337.45247148289	303.231939163498	6.52167749246818	6.36861484867889	4	59	1	1	0	0	1	3	0	0	0	0	0.25	
LOC103893251	NW_008794542.1	1739830	1741538	1114	271	1437	2	0	7.38007380073801	0	0.142628859665849	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893259	NW_008794542.1	560970	576781	1086	1086	14725	0	0	0	0	0	0	0	0	0	0	2	15	4	11	0	0	0	1		2
LOC103893273	NW_008794543.1	2704467	2714438	3791	2572	7399	1632	1223	634.52566096423	475.505443234837	12.2629764817524	9.98678119055327	4	64	12	177	7	18	7	18	0	0	0	0	3	1
LOC103893274	NW_008794543.1	2716746	2765930	5905	5449	43735	272	362	49.9174160396403	66.4342081115801	0.964714489235556	1.39528139880907	7	111	6	20	9	61	6	38	0	0	0	1	0.857142857142857	0.666666666666667
LOC103893281	NW_008794079.1	284331	309726	842	811	24584	5292	4392	6525.2774352651	5415.53637484587	126.108885185144	113.739553509922	2	15	0	0	0	0	0	0	0	0	0	0	0	
LOC103893303	NW_008794543.1	3304475	3314138	1284	1135	8528	2722	1777	2398.23788546256	1565.63876651982	46.3488501668854	32.882256148978	7	61	1	2	2	53	3	10	0	0	0	0	0.142857142857143	1.5
LOC103893312	NW_008794544.1	667960	671413	643	395	3058	419	232	1060.75949367089	587.341772151899	20.5004612483513	12.3356185423433	3	7	0	0	2	4	2	25	0	0	0	0	0	1
LOC103893313	NW_008794544.1	677370	681530	675	395	3765	1034	320	2617.72151898734	810.126582278481	50.5906370663371	17.0146462653011	0	0	2	2	2	2	1	1	0	0	0	0		0.5
LOC103893325	NW_008794544.1	757961	769314	1339	500	10853	42152	13973	84304	27946	1629.27684870405	586.934579029347	2	4	0	0	0	0	2	2	0	0	0	0	0	
LOC103893328	NW_008794544.1	1763087	1868993	873	873	105033	12	14	13.745704467354	16.0366552119129	0.265652377796874	0.336809113141162	2	31	7	79	0	0	0	0	0	1	0	1	3.5	
LOC103893349	NW_008794555.1	398382	441604	5801	5768	37454	12243	7301	2122.57281553398	1265.77669902913	41.02128900216	26.5844168750382	23	96	5	14	24	149	3	49	0	0	1	0	0.217391304347826	0.125
LOC103893353	NW_008794555.1	208220	210576	950	467	1889	2804	2219	6004.28265524625	4751.60599571735	116.040030405058	99.7953862738739	8	24	1	1	1	1	2	3	0	0	0	0	0.125	2
LOC103893354	NW_008794555.1	223883	230792	1841	1223	5686	684	322	559.280457890433	263.286999182339	10.8087718491825	5.52967308484169	6	40	8	83	4	46	3	12	0	0	0	1	1.33333333333333	0.75
LOC103893361	NW_008794578.1	34579	235748	1306	1168	200001	543	336	464.897260273973	287.671232876712	8.98470230582566	6.04180183093632	0	0	0	0	1	1	1	1	0	0	1	0		1
LOC103893362	NW_008794579.1	27893	977123	6460	6460	942770	242	117	37.4613003095975	18.1114551083591	0.723984974814686	0.380385002491723	14	57	16	116	14	121	11	62	2	0	2	2	1.14285714285714	0.785714285714286
LOC103893455	NW_008794583.1	492406	493302	304	304	592	7	7	23.0263157894737	23.0263157894737	0.44501142563506	0.48360913778328	1	3	1	45	0	0	0	0	0	1	0	0	1	
LOC103893456	NW_008794583.1	495156	496281	498	301	824	12457	13551	41385.3820598007	45019.9335548173	799.82260467837	945.529082835677	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893457	NW_008794583.1	508394	510258	557	369	1495	5527	1259	14978.3197831978	3411.92411924119	289.474160837566	71.6587793103451	0	0	0	0	0	0	0	0	1	0	0	0		
LOC103893458	NW_008794583.1	642175	642573	398	398	0	1	0	2.51256281407035	0	0.0485583178008105	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893460	NW_008794583.1	644486	644884	398	398	0	5	0	12.5628140703518	0	0.242791589004053	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893461	NW_008794583.1	649372	649770	398	398	0	3	0	7.53768844221106	0	0.145674953402432	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893462	NW_008794583.1	659536	659934	398	398	0	4	0	10.0502512562814	0	0.194233271203242	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893468	NW_008794583.1	452673	457410	765	733	4004	139	248	189.631650750341	338.335607094134	3.6648611969665	7.10587801905224	1	4	0	0	0	0	0	0	0	0	0	0	0	
LOC103893470	NW_008794583.1	500371	500965	361	361	233	12718	58974	35229.9168975069	163362.880886427	680.860789320504	3431.0213884669	1	45	1	3	0	0	0	0	0	0	0	0	1	
LOC103893471	NW_008794583.1	552930	553403	292	277	196	3715	5484	13411.5523465704	19797.8339350181	259.194483576695	415.803096197765	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893472	NW_008794583.1	624220	624612	392	368	24	123	1210	334.239130434783	3288.04347826087	6.45957578701326	69.0569818486807	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893480	NW_008794584.1	601736	603287	1551	938	613	713	480	760.127931769723	511.727078891258	14.6903924046985	10.7475244266427	5	24	1	3	1	28	2	2	0	0	0	0	0.2	2
LOC103893481	NW_008794584.1	659896	687569	2800	2556	25117	1633	1134	638.888888888889	443.661971830986	12.3473011430172	9.31799014771164	4	14	2	6	4	13	1	2	0	0	1	0	0.5	0.25
LOC103893486	NW_008794584.1	364038	367410	914	792	2580	5814	3326	7340.90909090909	4199.49494949495	141.871954240123	88.1996994316784	0	0	0	0	1	3	3	18	0	0	0	0		3
LOC103893488	NW_008794584.1	391273	393753	647	647	1833	1	5	1.54559505409583	7.72797527047913	0.0298704953396022	0.162306445005649	2	11	2	10	3	16	2	5	0	1	0	0	1	0.666666666666667
LOC103893491	NW_008794584.1	523638	524729	617	617	474	0	2	0	3.24149108589951	0	0.0680792673702788	4	52	6	46	4	32	3	53	0	0	0	1	1.5	0.75
LOC103893495	NW_008794585.1	11102	12608	1506	836	670	46629	24708	55776.3157894737	29555.023923445	1077.94481900972	620.728029940222	3	4	0	0	0	0	0	0	0	0	0	0	0	
LOC103893498	NW_008794594.1	80190	85812	689	649	4973	2	0	3.08166409861325	0	0.0595568890130126	0	2	7	2	4	1	3	1	1	0	0	0	1	1	1
LOC103893518	NW_008794080.1	2133292	2143469	1441	1300	8877	1374	1468	1056.92307692308	1129.23076923077	20.426317850776	23.7166172677824	4	56	3	9	4	33	3	14	0	0	0	0	0.75	0.75
LOC103893526	NW_008794080.1	2188824	2194892	826	826	5242	155	44	187.651331719128	53.2687651331719	3.62658913454238	1.11877478847962	2	8	6	15	3	7	9	52	0	0	0	0	3	3
LOC103893542	NW_008794597.1	461703	556411	2623	2105	92603	12	13	5.70071258907363	6.17577197149644	0.110173171409345	0.12970636664537	5	26	3	5	7	33	2	9	0	0	0	0	0.6	0.285714285714286
LOC103893543	NW_008794597.1	845147	1336668	4269	3488	488033	13133	5651	3765.19495412844	1620.12614678899	72.7669501995017	34.0266248457752	9	57	1	1	9	48	0	0	0	0	0	0	0.111111111111111	0
LOC103893550	NW_008794598.1	244831	251300	1535	1535	4934	163	163	106.188925081433	106.188925081433	2.05222951727022	2.23022801260466	2	4	0	0	3	5	1	1	0	0	0	0	0	0.333333333333333
LOC103893576	NW_008794598.1	1570171	1573373	876	876	2326	3206	1862	3659.81735159817	2125.57077625571	70.7304004726263	44.6422024174739	5	18	3	6	1	1	2	48	1	0	0	0	0.6	2
LOC103893610	NW_008794598.1	3498161	3512990	2184	1465	13364	1243	886	848.464163822526	604.778156996587	16.3975970187783	12.7018254126865	2	15	1	3	1	1	0	0	0	0	0	0	0.5	0
LOC103893617	NW_008794598.1	3940631	3944185	1293	1179	2375	1	5	0.848176420695505	4.24088210347752	0.0163920360345399	0.089068931228715	0	0	0	0	0	0	1	3	0	0	0	0		
LOC103893624	NW_008794598.1	4094288	4116474	3196	2649	19537	1186	869	447.716119290298	328.0483201208	8.65265595880747	6.88981974777737	16	43	12	48	6	13	4	5	0	0	0	0	0.75	0.666666666666667
LOC103893628	NW_008794598.1	4416301	4420505	861	656	3548	105	99	160.060975609756	150.914634146341	3.0933721050242	3.16957765913014	1	4	5	14	1	1	4	6	0	0	0	0	5	4
LOC103893648	NW_008794598.1	5309647	5312019	696	573	1799	297	260	518.324607329843	453.752181500873	10.0172504606677	9.52990931198963	1	1	2	44	4	8	0	0	0	0	0	0	2	0
LOC103893657	NW_008794598.1	3495264	3497312	2048	653	1395	340	232	520.673813169985	355.283307810107	10.0626517072063	7.46182132346951	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893673	NW_008794598.1	1451737	1453304	964	958	609	2	4	2.08768267223382	4.17536534446764	0.040346994748899	0.0876929185124468	3	11	8	24	9	106	3	13	0	0	1	0	2.66666666666667	0.333333333333333
LOC103893674	NW_008794598.1	1455592	1457691	1118	952	1147	17	22	17.8571428571429	23.109243697479	0.345110901512904	0.485350827355128	2	27	0	0	3	4	1	1	0	0	0	2	0	0.333333333333333
LOC103893678	NW_008794598.1	1575307	1579556	729	729	3520	76	42	104.252400548697	57.6131687242798	2.01480383654172	1.21001792498862	2	12	3	5	1	17	1	2	0	0	0	0	1.5	1
LOC103893680	NW_008794598.1	2294249	2319782	2912	2871	22662	923	1263	321.490769766632	439.916405433647	6.21319828540542	9.23932406180852	18	130	18	54	12	57	18	89	0	0	1	3	1	1.5
LOC103893681	NW_008794598.1	2338970	2348242	2208	2096	7176	7669	7100	3658.87404580153	3387.40458015267	70.7121699462489	71.1438088189361	7	37	7	19	2	2	3	68	0	2	0	0	1	1.5
LOC103893686	NW_008794598.1	2428547	2431230	699	603	2080	3	30	4.97512437810945	49.7512437810945	0.0961503009190179	1.04489820814582	3	17	2	2	2	6	0	0	0	0	0	0	0.666666666666667	0
LOC103893690	NW_008794598.1	2935686	2939507	1114	1114	2707	809	608	726.2118491921	545.780969479354	14.0349230539862	11.4627396966862	3	24	5	30	10	62	4	47	0	0	0	0	1.66666666666667	0.4
LOC103893702	NW_008794598.1	3944753	3946859	534	534	1572	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	1		0
LOC103893703	NW_008794598.1	3946859	3949441	621	621	1961	0	6	0	9.66183574879227	0	0.202922260712377	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893706	NW_008794598.1	4061206	4077612	1503	1503	14903	120	129	79.8403193612775	85.8283433133733	1.54301081714352	1.80260583093899	12	67	12	22	1	3	2	4	0	0	0	0	1	2
LOC103893708	NW_008794598.1	4120501	4124084	1179	1179	2404	3	2	2.54452926208651	1.69635284139101	0.0491761081036198	0.035627572491486	12	83	7	21	5	39	6	30	0	0	0	0	0.583333333333333	1.2
LOC103893711	NW_008794598.1	4406921	4412766	1485	1474	4371	95	178	64.4504748982361	120.759837177748	1.24558344372364	2.53625292340849	6	10	8	57	5	7	5	33	0	0	1	3	1.33333333333333	1
LOC103893712	NW_008794598.1	4422451	4428414	851	634	5329	12	8	18.9274447949527	12.6182965299685	0.365795782045223	0.265015192223735	2	13	2	14	0	0	3	5	0	0	0	0	1	
LOC103893714	NW_008794598.1	4579638	4584710	480	397	4675	733	860	1846.3476070529	2166.24685138539	35.6829024818682	45.4964998136238	0	0	1	2	0	0	2	29	0	0	0	0		
LOC103893715	NW_008794598.1	4636223	4648181	1140	1140	10818	8	38	7.01754385964912	33.3333333333333	0.135622529717352	0.7000817994577	4	23	11	65	1	1	5	21	0	0	0	0	2.75	5
LOC103893725	NW_008794598.1	5289723	5291833	1190	1190	920	21	15	17.6470588235294	12.6050420168067	0.341050773259811	0.264736814920979	6	66	12	72	4	9	0	0	0	0	0	0	2	0
LOC103893727	NW_008794598.1	5318380	5327047	2922	2922	5745	1562	828	534.565366187543	283.367556468173	10.3311227847833	5.95141406520509	13	52	3	7	4	41	2	2	1	0	0	0	0.230769230769231	0.5
LOC103893749	NW_008794599.1	591823	594727	871	856	2048	1704	1406	1990.65420560748	1642.52336448598	38.4718021798683	34.4970213798199	9	62	6	15	4	23	12	20	0	0	0	0	0.666666666666667	3
LOC103893750	NW_008794599.1	603767	607609	841	841	3001	152	159	180.737217598098	189.060642092747	3.49296550972394	3.97073743568755	5	44	4	5	3	6	4	6	0	0	0	0	0.8	1.33333333333333
LOC103893786	NW_008794599.1	2239379	2250300	1708	1708	9213	16	17	9.36768149882904	9.95316159250586	0.181041784400212	0.209040818339243	8	31	1	4	0	0	1	3	0	0	0	0	0.125	
LOC103893794	NW_008794599.1	2455970	2456926	956	956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893823	NW_008794601.1	2261522	2270605	2644	1202	7881	1479	2741	1230.44925124792	2280.36605657238	23.7799212203866	47.8932831692235	5	19	1	1	2	7	0	0	0	0	0	0	0.2	0
LOC103893859	NW_008794603.1	783551	787481	1518	608	3322	332	402	546.052631578947	661.184210526316	10.5531280936314	13.8864909563485	2	3	8	51	5	7	11	24	0	0	0	0	4	2.2
LOC103893879	NW_008794603.1	547	39995	2309	2143	37305	14391	8407	6715.35230984601	3923.00513299113	129.782312219152	82.3927347835868	14	80	2	4	4	10	0	0	0	0	0	0	0.142857142857143	0
LOC103893920	NW_008794621.1	2071130	2080709	1315	1209	8370	80	14	66.1703887510339	11.5798180314309	1.2788228608584	0.243204595345107	3	8	1	1	2	21	0	0	1	1	1	0	0.333333333333333	0
LOC103893946	NW_008794622.1	9386	10339	953	953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893947	NW_008794622.1	14417	15376	954	954	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893948	NW_008794622.1	43364	44311	947	947	0	0	0	0	0	0	0	1	1	2	3	1	1	0	0	0	0	0	0	2	0
LOC103893949	NW_008794622.1	48682	49639	955	955	2	0	0	0	0	0	0	2	12	3	12	0	0	0	0	0	0	0	0	1.5	
LOC103893950	NW_008794622.1	72619	73835	923	923	293	0	0	0	0	0	0	1	4	4	18	0	0	0	0	0	0	0	0	4	
LOC103893954	NW_008794622.1	147267	148202	935	935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893955	NW_008794622.1	150720	151666	943	943	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893957	NW_008794622.1	158245	159216	966	966	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893958	NW_008794622.1	175945	176880	935	935	0	0	0	0	0	0	0	1	5	5	41	0	0	0	0	0	0	0	1	5	
LOC103893959	NW_008794622.1	186734	187690	956	956	0	0	0	0	0	0	0	0	0	1	28	1	1	0	0	0	0	0	0		0
LOC103893960	NW_008794622.1	195831	206827	875	875	10121	60	67	68.5714285714286	76.5714285714286	1.32522586180955	1.60818790503997	3	50	5	10	0	0	0	0	0	0	0	0	1.66666666666667	
LOC103893961	NW_008794622.1	214025	260000	1113	1113	44862	0	0	0	0	0	0	3	4	4	95	0	0	0	0	0	1	0	0	1.33333333333333	
LOC103893963	NW_008794623.1	3624	4043	419	419	0	383	126	914.081145584726	300.715990453461	17.6657246196868	6.3157737516709	0	0	0	0	0	0	0	0	0	0	0	0		
LOC103893964	NW_008794623.1	26489	26887	398	395	3	1940	803	4911.39240506329	2032.91139240506	94.9186033933211	42.6961279719899	0	0	0	0	0	0	0	0	0	0	0	0		
